*** Simulated Data ***
Time (s),0.1 uM,0.5 uM,1 uM,5 uM,10 uM,50 uM
0.0,0j,0j,0j,0j,0j,0j
0.12562814070351758,(0.0024337812541889853+0j),(0.011302819807090914+0j),(0.0207559955352129+0j),(0.06261637757323868+0j),(0.08363485985870867+0j),(0.11419552745019246+0j)
0.25125628140703515,(0.004809436217752927+0j),(0.02237241186416511+0j),(0.04115050447388213+0j),(0.12483572540794885+0j),(0.16703393813388345+0j),(0.22836724587806145+0j)
0.37688442211055273,(0.007128300839946214+0j),(0.033212674183441926+0j),(0.06118740846980075+0j),(0.18665559006982235+0j),(0.2501952519707391+0j),(0.3425150609150691+0j)
0.5025125628140703,(0.009391682815545394+0j),(0.043827475584869546+0j),(0.08087062426059366+0j),(0.2480735362968698+0j),(0.33311680209676986+0j),(0.45663887765206823+0j)
0.6281407035175879,(0.011600862067775997+0j),(0.054220654477601715+0j),(0.10020410118193435+0j),(0.30908714834171214+0j),(0.4157965728224067+0j),(0.5707386006352166+0j)
0.7537688442211055,(0.013757091228487756+0j),(0.06439601770075837+0j),(0.11919181868139384+0j),(0.36969403134158796+0j),(0.49823253204852236+0j),(0.6848141338620337+0j)
0.879396984924623,(0.015861596115288534+0j),(0.07435733942315004+0j),(0.13783778383574818+0j),(0.42989181271559396+0j),(0.5804226312810599+0j),(0.7988653807772366+0j)
1.0050251256281406,(0.01791557620536874+0j),(0.0841083601015411+0j),(0.15614602887549567+0j),(0.4896781435885771+0j),(0.6623648056530982+0j),(0.9128922442687184+0j)
1.1306532663316582,(0.019920205105762673+0j),(0.09365278549693379+0j),(0.1741206087202627+0j),(0.549050700241021+0j),(0.7440569739546525+0j),(1.0268946266633279+0j)
1.2562814070351758,(0.021876631019813908+0j),(0.10299428574826153+0j),(0.1917655985286726+0j),(0.6080071855842224+0j),(0.8254970386705232+0j),(1.140872429722748+0j)
1.3819095477386933,(0.023785977209625025+0j),(0.11213649450279561+0j),(0.2090850912661547+0j),(0.6665453306599503+0j),(0.9066828860265428+0j),(1.2548255546392468+0j)
1.507537688442211,(0.02564934245429143+0j),(0.12108300810248751+0j),(0.2260831952940623+0j),(0.7246628961637152+0j),(0.9876123860445176+0j),(1.3687539020313864+0j)
1.6331658291457285,(0.02746780150373135+0j),(0.1298373848253973+0j),(0.24276403198334817+0j),(0.7823576739907026+0j),(1.0682833926062347+0j),(1.4826573719398226+0j)
1.758793969849246,(0.029242405527940704+0j),(0.13840314418128896+0j),(0.2591317333559253+0j),(0.8396274888033135+0j),(1.1486937435268771+0j),(1.5965358638228508+0j)
1.8844221105527637,(0.03097418256151535+0j),(0.1467837662604059+0j),(0.27519043975670576+0j),(0.8964701996192135+0j),(1.2288412606381875+0j),(1.7103892765521493+0j)
