*** Simulated Data ***
Time (s),0.1 uM,0.5 uM,1 uM,5 uM,10 uM,50 uM
0.0,(0.1+0j),(0.5+0j),(1+0j),(5+0j),(10+0j),(50+0j)
0.12562814070351758,(0.09756621874581102+0j),(0.4886971801929091+0j),(0.9792440044647871+0j),(4.937383622426761+0j),(9.916365140141291+0j),(49.88580447254981+0j)
0.25125628140703515,(0.09519056378224708+0j),(0.4776275881358349+0j),(0.9588494955261179+0j),(4.875164274592051+0j),(9.832966061866117+0j),(49.77163275412194+0j)
0.37688442211055273,(0.09287169916005379+0j),(0.4667873258165581+0j),(0.9388125915301992+0j),(4.813344409930178+0j),(9.749804748029261+0j),(49.65748493908493+0j)
0.5025125628140703,(0.09060831718445461+0j),(0.45617252441513045+0j),(0.9191293757394063+0j),(4.75192646370313+0j),(9.66688319790323+0j),(49.54336112234793+0j)
0.6281407035175879,(0.08839913793222401+0j),(0.4457793455223983+0j),(0.8997958988180657+0j),(4.690912851658288+0j),(9.584203427177593+0j),(49.42926139936478+0j)
0.7537688442211055,(0.08624290877151225+0j),(0.43560398229924163+0j),(0.8808081813186062+0j),(4.630305968658412+0j),(9.501767467951478+0j),(49.315185866137966+0j)
0.879396984924623,(0.08413840388471147+0j),(0.42564266057684996+0j),(0.8621622161642518+0j),(4.570108187284406+0j),(9.41957736871894+0j),(49.20113461922276+0j)
1.0050251256281406,(0.08208442379463127+0j),(0.4158916398984589+0j),(0.8438539711245043+0j),(4.510321856411423+0j),(9.337635194346902+0j),(49.08710775573128+0j)
1.1306532663316582,(0.08007979489423733+0j),(0.4063472145030662+0j),(0.8258793912797373+0j),(4.450949299758979+0j),(9.255943026045347+0j),(48.97310537333667+0j)
1.2562814070351758,(0.0781233689801861+0j),(0.3970057142517385+0j),(0.8082344014713274+0j),(4.391992814415778+0j),(9.174502961329477+0j),(48.85912757027725+0j)
1.3819095477386933,(0.07621402279037498+0j),(0.3878635054972044+0j),(0.7909149087338453+0j),(4.33345466934005+0j),(9.093317113973457+0j),(48.74517444536075+0j)
